iso_code,2022_last_updated,2021_population,growth_rate,world_%,rank
AFG,"41,681,944","40,099,462",2.57%,0.52%,36
ALB,"2,835,944","2,854,710",-0.43%,0.04%,138
DZA,"45,266,693","44,177,969",1.64%,0.56%,34
AND,"79,824","79,034",1.00%,0.00%,203
AGO,"36,134,189","34,503,774",3.15%,0.45%,42
AIA,"15,857","15,753",0.66%,0.00%,224
ATG,"93,763","93,219",0.58%,0.00%,201
ARG,"45,631,474","45,276,780",0.52%,0.57%,33
ARM,"2,777,281","2,790,974",-0.38%,0.03%,140
ABW,"106,445","106,537",-0.09%,0.00%,198
AUS,"26,309,728","25,921,089",0.99%,0.33%,55
AUT,"8,949,182","8,922,082",0.20%,0.11%,99
AZE,"10,386,769","10,312,992",0.44%,0.13%,91
BHS,"411,578","407,906",0.51%,0.01%,176
BHR,"1,478,610","1,463,265",0.61%,0.02%,154
BGD,"172,083,883","169,356,251",1.08%,2.15%,8
BRB,"281,635","281,200",0.15%,0.00%,186
BLR,"9,520,607","9,578,167",-0.45%,0.12%,96
BEL,"11,671,872","11,611,419",0.38%,0.15%,81
BLZ,"408,460","400,031",1.31%,0.01%,177
BEN,"13,533,004","12,996,895",2.74%,0.17%,77
BMU,"64,184","64,185",0.00%,0.00%,206
BTN,"785,643","777,486",0.64%,0.01%,165
BOL,"12,300,630","12,079,472",1.20%,0.15%,80
BIH,"3,220,773","3,270,943",-1.14%,0.04%,137
BWA,"2,652,614","2,588,423",1.62%,0.03%,144
BRA,"215,807,687","214,326,223",0.46%,2.70%,7
BRN,"450,596","445,373",0.81%,0.01%,175
BGR,"6,729,346","6,885,868",-1.51%,0.09%,108
BFA,"22,962,305","22,100,683",2.59%,0.28%,58
BDI,"13,064,933","12,551,213",2.70%,0.16%,78
CPV,"596,337","587,925",0.89%,0.01%,171
KHM,"16,855,521","16,589,023",1.08%,0.21%,73
CMR,"28,281,192","27,198,628",2.63%,0.35%,53
CAN,"38,620,119","38,155,012",0.78%,0.48%,39
CYM,"68,706","68,136",0.84%,0.00%,205
CAF,"5,658,852","5,457,154",2.24%,0.07%,117
TCD,"18,000,699","17,179,740",3.16%,0.22%,69
GBR,"67,625,310","67,281,039",0.34%,0.85%,21
CHL,"19,614,892","19,493,184",0.57%,0.25%,65
CHN,"1,425,849,077","1,425,893,465",0.00%,17.88%,1
COL,"51,960,109","51,516,562",0.69%,0.65%,28
COM,"844,745","821,625",1.84%,0.01%,163
COG,"6,038,973","5,835,806",2.31%,0.07%,114
COD,"100,623,500","95,894,118",3.25%,1.24%,15
CRI,"5,195,176","5,153,957",0.52%,0.06%,124
CIV,"28,514,445","27,478,249",2.48%,0.35%,52
HRV,"4,019,199","4,060,135",-0.73%,0.05%,130
CUB,"11,204,220","11,256,372",-0.39%,0.14%,85
CYP,"1,256,270","1,244,188",0.59%,0.02%,158
CZE,"10,490,798","10,510,751",-0.16%,0.13%,88
DNK,"5,896,608","5,854,240",0.48%,0.07%,115
DJI,"1,128,820","1,105,557",1.38%,0.01%,160
DMA,"72,737","72,412",0.45%,0.00%,204
DOM,"11,283,022","11,117,873",1.00%,0.14%,84
ECU,"18,098,244","17,797,737",1.14%,0.23%,67
EGY,"111,855,731","109,262,178",1.58%,1.39%,14
SLV,"6,349,145","6,314,167",0.35%,0.08%,112
GNQ,"1,694,038","1,634,466",2.47%,0.02%,152
ERI,"3,715,915","3,620,312",1.76%,0.05%,132
EST,"1,324,468","1,328,701",-0.20%,0.02%,156
ETH,"124,953,358","120,283,026",2.57%,1.55%,12
FLK,"3,780","3,764",0.43%,FLK,231
FRO,"53,090","52,889",0.38%,0.00%,209
FJI,"932,954","924,610",0.56%,0.01%,162
FIN,"5,543,933","5,535,992",0.09%,0.07%,118
FRA,"64,693,583","64,531,444",0.15%,0.81%,23
PYF,"307,873","304,032",0.74%,0.00%,183
GAB,"2,412,904","2,341,179",2.04%,0.03%,146
GMB,"2,739,469","2,639,916",2.50%,0.03%,142
GEO,"3,734,820","3,757,980",-0.36%,0.05%,131
DEU,"83,312,453","83,408,554",-0.05%,1.05%,19
GHA,"33,801,078","32,833,031",1.96%,0.42%,47
GIB,"32,649","32,669",-0.06%,0.00%,219
GRL,"56,466","56,243",0.40%,0.00%,208
GRD,"125,438","124,610",0.66%,0.00%,193
GTM,"17,966,658","17,608,483",1.34%,0.22%,68
GIN,"14,025,133","13,531,906",2.42%,0.17%,75
GNB,"2,127,884","2,060,721",2.18%,0.03%,149
GUY,"810,320","804,567",0.52%,0.01%,164
HTI,"11,655,139","11,447,569",1.20%,0.15%,82
VAT,510,511,-0.20%,VAT,234
HND,"10,510,974","10,278,345",1.50%,0.13%,89
HUN,"10,249,474","9,709,786",2.65%,0.12%,94
ISL,"374,493","370,335",0.69%,0.00%,179
IND,"1,422,076,805","1,407,563,842",0.68%,17.77%,2
